customer_id,statement_id,sector_activity,statement_category,start_date_index,end_date_index,KWH_consumption,unity
542733,1793,Electricity,Self-identified by the client,8/2/12,19/4/12,114,KWH
542733,2189,Electricity,Estimated Electricity Distributor,7/4/12,27/5/12,111,KWH
542733,2590,Electricity,Estimated Gas Distributor,5/6/12,9/8/12,92,KWH
542733,3038,Electricity,Self-identified by the client,12/8/12,14/10/12,171,KWH
542733,3427,Electricity,Estimated Electricity Distributor,5/10/12,13/12/12,157,KWH
542733,3829,Electricity,Distributor correction,11/12/12,9/2/13,175,KWH
542733,4261,Electricity,Distributor correction,30/1/13,31/3/13,136,KWH
542733,4630,Electricity,Estimated Electricity Distributor,15/4/13,12/6/13,123,KWH
542733,5023,Electricity,Statement by the distributor,9/6/13,5/8/13,115,KWH
542733,5468,Electricity,Self-identified by the client,29/7/13,8/10/13,235,KWH
542733,5847,Electricity,Estimated Gas Distributor,29/9/13,29/11/13,144,KWH
542733,6215,Electricity,Estimated Electricity Distributor,29/11/13,5/2/14,168,KWH
542733,6548,Electricity,Estimated Gas Distributor,12/2/14,13/4/14,106,KWH
542733,3426,Natural Gas,Estimated Electricity Distributor,15/10/12,16/4/13,2167,KWH
954361,456,Electricity,Self-identified by the client,19/7/11,25/9/11,166,KWH
954361,840,Electricity,Statement by the distributor,13/9/11,13/11/11,255,KWH
954361,1236,Electricity,Estimated Electricity Distributor,16/11/11,19/1/12,314,KWH
954361,1690,Electricity,Estimated Gas Distributor,8/1/12,17/3/12,288,KWH
954361,2089,Electricity,Self-identified by the client,10/3/12,20/5/12,244,KWH
954361,2477,Electricity,Self-identified by the client,18/5/12,19/7/12,133,KWH
954361,2940,Electricity,Self-identified by the client,10/7/12,20/9/12,141,KWH
954361,3317,Electricity,Estimated Electricity Distributor,23/9/12,11/11/12,253,KWH
954361,3726,Electricity,Estimated Gas Distributor,12/11/12,24/1/13,365,KWH
954361,4177,Electricity,Distributor correction,21/1/13,13/3/13,250,KWH
954361,4546,Electricity,Estimated Electricity Distributor,15/3/13,27/5/13,252,KWH
954361,4918,Electricity,Distributor correction,17/5/13,7/7/13,176,KWH
954361,5368,Electricity,Estimated Gas Distributor,26/7/13,18/9/13,191,KWH
954361,5745,Electricity,Statement by the distributor,11/9/13,29/11/13,256,KWH
954361,6134,Electricity,Self-identified by the client,20/11/13,16/1/14,265,KWH
954361,6471,Electricity,Estimated Gas Distributor,12/1/14,25/3/14,234,KWH
954361,6791,Electricity,Self-identified by the client,24/3/14,22/5/14,209,KWH
954361,455,Natural Gas,Distributor correction,21/7/11,22/1/12,11038,KWH
954361,1691,Natural Gas,Estimated Gas Distributor,10/1/12,21/7/12,12813,KWH
954361,2943,Natural Gas,Statement by the distributor,15/7/12,27/1/13,14688,KWH
954361,4180,Natural Gas,Distributor correction,20/1/13,21/7/13,15384,KWH
954361,5366,Natural Gas,Estimated Gas Distributor,15/7/13,21/1/14,11839,KWH
1047758,156,Electricity,Statement by the distributor,6/6/11,10/8/11,258,KWH
1047758,586,Electricity,Distributor correction,12/8/11,16/10/11,137,KWH
1047758,976,Electricity,Statement by the distributor,14/10/11,12/12/11,304,KWH
1047758,1396,Electricity,Estimated Gas Distributor,21/12/11,17/2/12,385,KWH
1047758,1835,Electricity,Statement by the distributor,13/2/12,14/4/12,356,KWH
1047758,2223,Electricity,Statement by the distributor,20/4/12,4/6/12,278,KWH
1047758,2640,Electricity,Distributor correction,12/6/12,20/8/12,190,KWH
1047758,3078,Electricity,Estimated Gas Distributor,23/8/12,8/10/12,277,KWH
1047758,3452,Electricity,Statement by the distributor,25/10/12,23/12/12,324,KWH
1047758,3867,Electricity,Self-identified by the client,8/12/12,17/2/13,360,KWH
1047758,4298,Electricity,Distributor correction,20/2/13,14/4/13,440,KWH
1047758,4662,Electricity,Distributor correction,21/4/13,19/6/13,267,KWH
1047758,5070,Electricity,Self-identified by the client,11/6/13,18/8/13,238,KWH
1047758,5505,Electricity,Estimated Electricity Distributor,13/8/13,23/10/13,232,KWH
1047758,5890,Electricity,Statement by the distributor,11/10/13,6/12/13,308,KWH
1047758,6251,Electricity,Statement by the distributor,3/12/13,24/2/14,351,KWH
1047758,6585,Electricity,Estimated Electricity Distributor,10/2/14,20/4/14,432,KWH
1047758,973,Natural Gas,Distributor correction,13/10/11,26/4/12,18881,KWH
1047758,2219,Natural Gas,Estimated Gas Distributor,18/4/12,8/10/12,3811,KWH
1047758,3455,Natural Gas,Self-identified by the client,9/10/12,9/4/13,25278,KWH
1047758,4657,Natural Gas,Estimated Gas Distributor,18/4/13,17/10/13,3986,KWH
1047758,5891,Natural Gas,Self-identified by the client,11/10/13,6/4/14,20118,KWH
1281623,44,Electricity,Self-identified by the client,23/5/11,2/8/11,757,KWH
1281623,501,Electricity,Estimated Electricity Distributor,24/7/11,22/9/11,621,KWH
1281623,884,Electricity,Distributor correction,22/9/11,1/12/11,873,KWH
1281623,1316,Electricity,Self-identified by the client,8/12/11,1/2/12,1057,KWH
1281623,1742,Electricity,Estimated Gas Distributor,6/2/12,7/4/12,1069,KWH
1281623,2129,Electricity,Distributor correction,2/4/12,29/5/12,968,KWH
1281623,2545,Electricity,Statement by the distributor,20/5/12,31/7/12,752,KWH
1281623,2992,Electricity,Statement by the distributor,22/7/12,26/9/12,545,KWH
1281623,3370,Electricity,Self-identified by the client,28/9/12,27/11/12,646,KWH
1281623,3785,Electricity,Self-identified by the client,29/11/12,1/2/13,881,KWH
1281623,4217,Electricity,Statement by the distributor,20/1/13,18/3/13,918,KWH
1281623,5008,Electricity,Statement by the distributor,31/5/13,30/7/13,708,KWH
1281623,5417,Electricity,Statement by the distributor,19/7/13,19/9/13,696,KWH
1281623,5794,Electricity,Estimated Gas Distributor,29/9/13,25/11/13,509,KWH
1281623,6178,Electricity,Estimated Gas Distributor,6/12/13,19/1/14,909,KWH
1281623,6515,Electricity,Statement by the distributor,4/2/14,21/3/14,849,KWH
1281623,45,Natural Gas,Estimated Electricity Distributor,30/5/11,7/12/11,5379,KWH
1281623,1312,Natural Gas,Statement by the distributor,20/11/11,2/6/12,21664,KWH
1281623,2540,Natural Gas,Estimated Electricity Distributor,6/6/12,23/11/12,6762,KWH
1281623,3784,Natural Gas,Self-identified by the client,3/12/12,10/6/13,25084,KWH
1281623,4999,Natural Gas,Estimated Electricity Distributor,3/6/13,7/12/13,4949,KWH
1829457,404,Electricity,Estimated Gas Distributor,4/7/11,12/9/11,124,KWH
1829457,770,Electricity,Distributor correction,17/9/11,17/11/11,239,KWH
1829457,1183,Electricity,Estimated Gas Distributor,3/11/11,4/1/12,322,KWH
1829457,1648,Electricity,Statement by the distributor,13/1/12,10/3/12,285,KWH
1829457,2027,Electricity,Estimated Gas Distributor,29/2/12,19/5/12,262,KWH
1829457,2429,Electricity,Estimated Electricity Distributor,6/5/12,15/7/12,203,KWH
1829457,2884,Electricity,Distributor correction,18/7/12,20/9/12,142,KWH
1829457,3265,Electricity,Estimated Gas Distributor,9/9/12,10/11/12,218,KWH
1829457,3667,Electricity,Distributor correction,1/11/12,1/1/13,273,KWH
1829457,4113,Electricity,Estimated Electricity Distributor,21/1/13,10/3/13,261,KWH
1829457,4479,Electricity,Statement by the distributor,26/2/13,10/5/13,270,KWH
1829457,4863,Electricity,Statement by the distributor,11/5/13,13/7/13,193,KWH
1829457,5312,Electricity,Self-identified by the client,13/7/13,4/9/13,212,KWH
1829457,5693,Electricity,Estimated Electricity Distributor,8/9/13,13/11/13,255,KWH
1829457,6080,Electricity,Statement by the distributor,19/11/13,8/1/14,256,KWH
1829457,6416,Electricity,Statement by the distributor,31/12/13,16/3/14,273,KWH
1829457,6750,Electricity,Statement by the distributor,9/3/14,10/5/14,244,KWH
1829457,397,Natural Gas,Estimated Electricity Distributor,9/7/11,20/9/11,51,KWH
1829457,881,Natural Gas,Statement by the distributor,29/9/11,4/10/11,0,KWH
1829457,882,Natural Gas,Statement by the distributor,25/9/11,10/1/12,3675,KWH
1829457,1630,Natural Gas,Distributor correction,14/1/12,6/7/12,5189,KWH
1829457,2871,Natural Gas,Estimated Electricity Distributor,16/7/12,11/1/13,4670,KWH
1829457,4118,Natural Gas,Estimated Electricity Distributor,4/1/13,8/7/13,6507,KWH
1829457,5311,Natural Gas,Self-identified by the client,12/7/13,19/1/14,3844,KWH
1918851,176,Electricity,Distributor correction,27/6/11,24/8/11,480,KWH
1918851,600,Electricity,Self-identified by the client,9/8/11,15/10/11,957,KWH
1918851,1001,Electricity,Estimated Gas Distributor,27/10/11,26/12/11,716,KWH
1918851,1420,Electricity,Statement by the distributor,19/12/11,23/2/12,940,KWH
1918851,1856,Electricity,Self-identified by the client,18/2/12,25/4/12,410,KWH
1918851,2229,Electricity,Self-identified by the client,20/4/12,26/6/12,702,KWH
1918851,2668,Electricity,Self-identified by the client,11/6/12,19/8/12,512,KWH
1918851,3099,Electricity,Statement by the distributor,28/8/12,12/10/12,1016,KWH
1918851,3480,Electricity,Distributor correction,27/10/12,11/12/12,843,KWH
1918851,3893,Electricity,Estimated Gas Distributor,13/12/12,24/2/13,775,KWH
1918851,4302,Electricity,Estimated Gas Distributor,11/2/13,16/4/13,892,KWH
1918851,4696,Electricity,Statement by the distributor,22/4/13,28/6/13,698,KWH
1918851,5092,Electricity,Estimated Electricity Distributor,21/6/13,9/8/13,670,KWH
1918851,5526,Electricity,Statement by the distributor,10/8/13,25/10/13,827,KWH
1918851,5885,Electricity,Estimated Gas Distributor,18/10/13,10/12/13,794,KWH
1918851,6263,Electricity,Estimated Gas Distributor,25/12/13,17/2/14,962,KWH
1918851,6600,Electricity,Statement by the distributor,25/2/14,25/4/14,468,KWH
1918851,1003,Natural Gas,Self-identified by the client,27/10/11,11/4/12,11689,KWH
1918851,2225,Natural Gas,Estimated Gas Distributor,7/4/12,16/10/12,3110,KWH
1918851,3478,Natural Gas,Self-identified by the client,24/10/12,12/4/13,13556,KWH
1918851,4694,Natural Gas,Distributor correction,8/4/13,11/10/13,3443,KWH
1918851,5892,Natural Gas,Self-identified by the client,24/10/13,26/4/14,11867,KWH
2061861,392,Electricity,Self-identified by the client,17/7/11,9/9/11,12,KWH
2061861,781,Electricity,Estimated Electricity Distributor,4/9/11,18/11/11,22,KWH
2061861,1165,Electricity,Estimated Gas Distributor,7/11/11,5/1/12,31,KWH
2061861,1634,Electricity,Estimated Gas Distributor,15/1/12,18/3/12,24,KWH
2061861,2015,Electricity,Distributor correction,11/3/12,10/5/12,23,KWH
2061861,2426,Electricity,Statement by the distributor,17/5/12,18/7/12,41,KWH
2061861,2885,Electricity,Estimated Gas Distributor,17/7/12,20/9/12,12,KWH
2061861,3257,Electricity,Estimated Gas Distributor,5/9/12,11/11/12,20,KWH
2061861,3658,Electricity,Distributor correction,17/11/12,4/1/13,35,KWH
2061861,4120,Electricity,Distributor correction,11/1/13,13/3/13,21,KWH
2061861,4463,Electricity,Estimated Electricity Distributor,4/3/13,5/5/13,21,KWH
2061861,4874,Electricity,Self-identified by the client,13/5/13,5/7/13,39,KWH
2061861,5310,Electricity,Estimated Electricity Distributor,18/7/13,9/9/13,19,KWH
2061861,5686,Electricity,Statement by the distributor,17/9/13,18/11/13,20,KWH
2061861,6078,Electricity,Self-identified by the client,15/11/13,10/1/14,39,KWH
2061861,6429,Electricity,Self-identified by the client,5/1/14,12/3/14,22,KWH
2061861,6736,Electricity,Self-identified by the client,4/3/14,13/5/14,21,KWH
2061861,405,Natural Gas,Self-identified by the client,19/7/11,30/9/11,0,KWH
2061861,880,Natural Gas,Distributor correction,29/9/11,18/9/11,0,KWH
2061861,886,Natural Gas,Estimated Electricity Distributor,4/10/11,12/1/12,0,KWH
2061861,1636,Natural Gas,Statement by the distributor,14/1/12,2/7/12,0,KWH
2061861,2874,Natural Gas,Estimated Gas Distributor,1/7/12,3/1/13,0,KWH
2061861,4105,Natural Gas,Estimated Electricity Distributor,6/1/13,2/7/13,0,KWH
2061861,4122,Natural Gas,Estimated Electricity Distributor,3/1/13,20/9/13,0,KWH
2061861,5293,Natural Gas,Estimated Gas Distributor,3/7/13,20/9/13,0,KWH
2061861,5779,Natural Gas,Statement by the distributor,28/9/13,13/11/13,0,KWH
2061861,5791,Natural Gas,Distributor correction,29/9/13,24/11/13,0,KWH
2061861,6144,Natural Gas,Self-identified by the client,12/11/13,7/1/14,0,KWH
2092325,36,Electricity,Estimated Gas Distributor,2/6/11,21/7/11,438,KWH
2092325,495,Electricity,Distributor correction,2/8/11,23/9/11,312,KWH
2092325,855,Electricity,Estimated Electricity Distributor,5/10/11,30/11/11,297,KWH
2092325,1267,Electricity,Estimated Electricity Distributor,3/12/11,30/1/12,550,KWH
2092325,1730,Electricity,Estimated Electricity Distributor,4/2/12,31/3/12,617,KWH
2092325,2116,Electricity,Estimated Electricity Distributor,18/3/12,3/6/12,325,KWH
2092325,2523,Electricity,Statement by the distributor,21/5/12,21/7/12,381,KWH
2092325,2981,Electricity,Estimated Gas Distributor,31/7/12,24/9/12,300,KWH
2092325,3344,Electricity,Self-identified by the client,30/9/12,24/11/12,902,KWH
2092325,3765,Electricity,Distributor correction,21/11/12,29/1/13,591,KWH
2092325,4203,Electricity,Self-identified by the client,16/1/13,17/3/13,560,KWH
2092325,4577,Electricity,Distributor correction,25/3/13,3/6/13,745,KWH
2092325,4989,Electricity,Self-identified by the client,24/5/13,20/7/13,442,KWH
2092325,5410,Electricity,Self-identified by the client,28/7/13,23/9/13,485,KWH
2092325,5774,Electricity,Distributor correction,25/9/13,28/11/13,562,KWH
2092325,6171,Electricity,Statement by the distributor,16/11/13,26/1/14,572,KWH
2092325,6507,Electricity,Distributor correction,20/1/14,3/4/14,564,KWH
2092325,38,Natural Gas,Estimated Electricity Distributor,24/5/11,18/11/11,4579,KWH
2092325,1269,Natural Gas,Distributor correction,16/11/11,23/5/12,19470,KWH
2092325,2521,Natural Gas,Self-identified by the client,29/5/12,27/11/12,4462,KWH
2092325,3755,Natural Gas,Estimated Gas Distributor,22/11/12,24/5/13,20882,KWH
2092325,4986,Natural Gas,Distributor correction,22/5/13,6/12/13,3871,KWH
2111262,229,Electricity,Estimated Electricity Distributor,3/7/11,1/9/11,72,KWH
2111262,682,Electricity,Statement by the distributor,2/9/11,20/10/11,125,KWH
2111262,1065,Electricity,Estimated Gas Distributor,29/10/11,30/12/11,133,KWH
2111262,1517,Electricity,Estimated Electricity Distributor,25/12/11,3/3/12,148,KWH
2111262,1913,Electricity,Self-identified by the client,2/3/12,7/5/12,297,KWH
2111262,2372,Electricity,Estimated Gas Distributor,25/4/12,2/7/12,113,KWH
2111262,2743,Electricity,Self-identified by the client,3/7/12,27/8/12,99,KWH
2111262,3164,Electricity,Distributor correction,7/9/12,22/10/12,85,KWH
2111262,3559,Electricity,Distributor correction,3/11/12,1/1/13,152,KWH
2111262,3965,Electricity,Self-identified by the client,1/1/13,28/2/13,162,KWH
2111262,4376,Electricity,Distributor correction,4/3/13,6/5/13,185,KWH
2111262,4751,Electricity,Distributor correction,26/4/13,3/7/13,119,KWH
2111262,5179,Electricity,Estimated Gas Distributor,28/6/13,22/8/13,107,KWH
2111262,5583,Electricity,Estimated Electricity Distributor,22/8/13,20/10/13,89,KWH
2111262,5971,Electricity,Estimated Electricity Distributor,20/10/13,1/1/14,139,KWH
2111262,6344,Electricity,Distributor correction,28/12/13,26/2/14,144,KWH
2111262,6668,Electricity,Estimated Electricity Distributor,4/3/14,21/4/14,60,KWH
2111262,1081,Natural Gas,Statement by the distributor,29/10/11,6/5/12,11746,KWH
2111262,2363,Natural Gas,Self-identified by the client,1/5/12,21/10/12,2167,KWH
2111262,3560,Natural Gas,Statement by the distributor,31/10/12,17/4/13,11638,KWH
2111262,4750,Natural Gas,Estimated Electricity Distributor,17/4/13,27/10/13,2676,KWH
2111262,5972,Natural Gas,Distributor correction,19/10/13,28/4/14,11035,KWH
2116008,220,Electricity,Self-identified by the client,27/6/11,30/8/11,776,KWH
2116008,646,Electricity,Estimated Electricity Distributor,15/8/11,21/10/11,1049,KWH
2116008,1078,Electricity,Self-identified by the client,27/10/11,18/12/11,1372,KWH
2116008,1472,Electricity,Estimated Electricity Distributor,16/12/11,28/2/12,1417,KWH
2116008,1885,Electricity,Distributor correction,22/2/12,2/5/12,986,KWH
2116008,2306,Electricity,Distributor correction,30/4/12,27/6/12,1072,KWH
2116008,2712,Electricity,Estimated Electricity Distributor,19/6/12,1/9/12,670,KWH
2116008,3131,Electricity,Estimated Electricity Distributor,20/8/12,29/10/12,1090,KWH
2116008,3521,Electricity,Distributor correction,21/10/12,3/1/13,1212,KWH
2116008,3943,Electricity,Estimated Electricity Distributor,21/12/12,12/2/13,1156,KWH
2116008,4357,Electricity,Estimated Electricity Distributor,23/2/13,17/4/13,172,KWH
2116008,4741,Electricity,Distributor correction,3/5/13,16/6/13,692,KWH
2116008,5143,Electricity,Estimated Electricity Distributor,29/6/13,30/8/13,645,KWH
2116008,5558,Electricity,Distributor correction,18/8/13,19/10/13,1,KWH
2116008,5947,Electricity,Distributor correction,25/10/13,21/12/13,735,KWH
2116008,6324,Electricity,Distributor correction,26/12/13,21/2/14,722,KWH
2116008,6629,Electricity,Statement by the distributor,26/2/14,25/4/14,286,KWH
2116008,1079,Natural Gas,Statement by the distributor,29/10/11,5/5/12,17565,KWH
2116008,2309,Natural Gas,Distributor correction,27/4/12,24/10/12,6584,KWH
2116008,3524,Natural Gas,Distributor correction,24/10/12,25/4/13,17444,KWH
2116008,4740,Natural Gas,Estimated Electricity Distributor,24/4/13,20/10/13,3352,KWH
2116008,5944,Natural Gas,Estimated Electricity Distributor,30/10/13,21/4/14,14061,KWH
2260128,238,Electricity,Estimated Electricity Distributor,29/6/11,30/8/11,140,KWH
2260128,676,Electricity,Self-identified by the client,28/8/11,19/10/11,288,KWH
2260128,1090,Electricity,Estimated Electricity Distributor,18/10/11,19/12/11,281,KWH
2260128,1519,Electricity,Statement by the distributor,18/12/11,29/2/12,253,KWH
2260128,1924,Electricity,Statement by the distributor,1/3/12,18/4/12,169,KWH
2260128,2332,Electricity,Self-identified by the client,26/4/12,21/6/12,210,KWH
2260128,2737,Electricity,Estimated Electricity Distributor,6/7/12,23/8/12,142,KWH
2260128,3158,Electricity,Self-identified by the client,28/8/12,28/10/12,309,KWH
2260128,3547,Electricity,Estimated Electricity Distributor,22/10/12,1/1/13,266,KWH
2260128,3976,Electricity,Self-identified by the client,19/12/12,21/2/13,254,KWH
2260128,4377,Electricity,Distributor correction,26/2/13,25/4/13,185,KWH
2260128,4769,Electricity,Estimated Electricity Distributor,21/4/13,29/6/13,199,KWH
2260128,5182,Electricity,Statement by the distributor,28/6/13,7/9/13,190,KWH
2260128,5591,Electricity,Self-identified by the client,24/8/13,24/10/13,258,KWH
2260128,5978,Electricity,Distributor correction,31/10/13,22/12/13,263,KWH
2260128,6331,Electricity,Self-identified by the client,6/1/14,21/2/14,279,KWH
2260128,6660,Electricity,Statement by the distributor,6/3/14,15/4/14,123,KWH
2260128,1076,Natural Gas,Estimated Electricity Distributor,27/10/11,26/4/12,5350,KWH
2260128,2336,Natural Gas,Estimated Electricity Distributor,5/5/12,21/10/12,716,KWH
2260128,3548,Natural Gas,Self-identified by the client,18/10/12,4/5/13,5781,KWH
2260128,4760,Natural Gas,Statement by the distributor,28/4/13,4/11/13,1112,KWH
2260128,5976,Natural Gas,Distributor correction,30/10/13,3/5/14,5291,KWH
2352486,428,Electricity,Statement by the distributor,24/7/11,24/9/11,191,KWH
2352486,821,Electricity,Self-identified by the client,6/9/11,28/11/11,356,KWH
2352486,1249,Electricity,Distributor correction,20/11/11,21/1/12,342,KWH
2352486,1680,Electricity,Statement by the distributor,18/1/12,23/3/12,334,KWH
2352486,2072,Electricity,Statement by the distributor,17/3/12,13/5/12,158,KWH
2352486,2470,Electricity,Self-identified by the client,19/5/12,7/7/12,233,KWH
2352486,2935,Electricity,Estimated Gas Distributor,25/7/12,13/9/12,150,KWH
2352486,3313,Electricity,Statement by the distributor,21/9/12,13/11/12,395,KWH
2352486,3718,Electricity,Distributor correction,10/11/12,14/1/13,316,KWH
2352486,4165,Electricity,Estimated Electricity Distributor,11/1/13,7/3/13,269,KWH
2352486,4532,Electricity,Self-identified by the client,17/3/13,28/5/13,324,KWH
2352486,4929,Electricity,Estimated Gas Distributor,21/5/13,17/7/13,230,KWH
2352486,5350,Electricity,Statement by the distributor,11/7/13,4/9/13,249,KWH
2352486,5738,Electricity,Estimated Gas Distributor,16/9/13,16/11/13,408,KWH
2352486,6141,Electricity,Self-identified by the client,14/11/13,26/1/14,278,KWH
2352486,6466,Electricity,Self-identified by the client,19/1/14,17/3/14,294,KWH
3516064,158,Electricity,Self-identified by the client,22/6/11,24/8/11,518,KWH
3516064,595,Electricity,Self-identified by the client,26/8/11,28/10/11,638,KWH
3516064,975,Electricity,Self-identified by the client,26/10/11,20/12/11,729,KWH
3516064,1389,Electricity,Statement by the distributor,21/12/11,17/2/12,863,KWH
3516064,1836,Electricity,Self-identified by the client,13/2/12,7/4/12,1091,KWH
3516064,2215,Electricity,Self-identified by the client,23/4/12,13/6/12,797,KWH
3516064,2645,Electricity,Distributor correction,21/6/12,17/8/12,466,KWH
3516064,3075,Electricity,Statement by the distributor,14/8/12,22/10/12,747,KWH
3516064,3446,Electricity,Estimated Gas Distributor,10/10/12,17/12/12,917,KWH
3516064,3875,Electricity,Statement by the distributor,16/12/12,6/2/13,1035,KWH
3516064,4297,Electricity,Estimated Gas Distributor,21/2/13,12/4/13,419,KWH
3516064,4653,Electricity,Statement by the distributor,25/4/13,15/6/13,588,KWH
3516064,5069,Electricity,Estimated Gas Distributor,10/6/13,9/8/13,601,KWH
3516064,5500,Electricity,Statement by the distributor,12/8/13,9/10/13,510,KWH
3516064,5886,Electricity,Estimated Gas Distributor,22/10/13,14/12/13,765,KWH
3516064,6252,Electricity,Distributor correction,23/12/13,4/2/14,833,KWH
3516064,6578,Electricity,Estimated Gas Distributor,11/2/14,26/4/14,663,KWH
3516064,974,Natural Gas,Estimated Gas Distributor,23/10/11,17/4/12,25808,KWH
3516064,2214,Natural Gas,Statement by the distributor,11/4/12,22/10/12,3630,KWH
3516064,3447,Natural Gas,Self-identified by the client,22/10/12,22/4/13,29810,KWH
3516064,4659,Natural Gas,Estimated Electricity Distributor,7/4/13,20/10/13,3722,KWH
3516064,5895,Natural Gas,Statement by the distributor,7/10/13,23/4/14,32946,KWH
3607132,424,Electricity,Estimated Gas Distributor,5/7/11,11/9/11,151,KWH
3607132,791,Electricity,Self-identified by the client,3/9/11,12/11/11,273,KWH
3607132,1200,Electricity,Estimated Gas Distributor,14/11/11,7/1/12,304,KWH
3607132,1678,Electricity,Estimated Gas Distributor,3/1/12,15/3/12,301,KWH
3607132,2047,Electricity,Estimated Electricity Distributor,12/3/12,24/5/12,245,KWH
3607132,2455,Electricity,Statement by the distributor,16/5/12,12/7/12,174,KWH
3607132,2910,Electricity,Statement by the distributor,15/7/12,16/9/12,150,KWH
3607132,3291,Electricity,Estimated Electricity Distributor,4/9/12,23/11/12,220,KWH
3607132,3688,Electricity,Statement by the distributor,13/11/12,5/1/13,343,KWH
3607132,4136,Electricity,Statement by the distributor,23/1/13,10/3/13,256,KWH
3607132,4501,Electricity,Estimated Gas Distributor,22/3/13,13/5/13,253,KWH
3607132,4888,Electricity,Estimated Electricity Distributor,12/5/13,11/7/13,302,KWH
3607132,5359,Electricity,Distributor correction,16/7/13,4/9/13,226,KWH
3607132,5709,Electricity,Estimated Gas Distributor,20/9/13,20/11/13,264,KWH
3607132,6104,Electricity,Distributor correction,13/11/13,14/1/14,376,KWH
3607132,6451,Electricity,Self-identified by the client,6/1/14,5/3/14,318,KWH
3607132,6765,Electricity,Estimated Electricity Distributor,5/3/14,20/5/14,254,KWH
3607132,417,Natural Gas,Estimated Gas Distributor,13/7/11,6/1/12,6891,KWH
3607132,1674,Natural Gas,Estimated Electricity Distributor,5/1/12,10/7/12,9320,KWH
3607132,2921,Natural Gas,Self-identified by the client,21/7/12,10/1/13,8154,KWH
3607132,4142,Natural Gas,Distributor correction,17/1/13,5/7/13,12080,KWH
3607132,5356,Natural Gas,Estimated Electricity Distributor,24/7/13,14/1/14,8719,KWH
